;Datetime;Close;Predict;P_sma_4;P_sma_10;Signal;Buy_price;Sell_price
676;2021-09-08 11:34:00+01:00;46077.03125;46162.86544346997;;;0;0.0;0.0
677;2021-09-08 11:35:00+01:00;45956.9609375;46083.77562951997;;;0;0.0;0.0
678;2021-09-08 11:36:00+01:00;45981.68359375;45961.662646193356;;;0;0.0;0.0
679;2021-09-08 11:37:00+01:00;45958.73828125;45985.52327030879;46048.45674737302;;0;0.0;0.0
680;2021-09-08 11:38:00+01:00;45988.453125;45960.67170832507;45997.90831358679;;0;0.0;0.0
681;2021-09-08 11:39:00+01:00;45959.64453125;45989.13738950218;45974.24875358235;;0;0.0;0.0
682;2021-09-08 11:40:00+01:00;45947.5390625;45958.34607827897;45973.41961160375;;0;0.0;0.0
683;2021-09-08 11:41:00+01:00;45879.578125;45944.2855789086;45963.11018875371;;0;0.0;0.0
684;2021-09-08 11:42:00+01:00;45927.9453125;45873.29190289961;45941.26523739734;;0;0.0;0.0
685;2021-09-08 11:43:00+01:00;45982.5390625;45921.35854849171;45924.32052714472;45984.09181958983;-1;45982.5390625;
686;2021-09-08 11:44:00+01:00;45973.484375;45977.26716806832;45929.05079959206;45965.53199204966;-2;;45973.484375
687;2021-09-08 11:45:00+01:00;46012.80859375;45969.464681895195;45935.34557533871;45954.10089728718;0;;
688;2021-09-08 11:46:00+01:00;46109.08984375;46011.257881807316;45969.83707006563;45959.060420848575;1;0.0;0.0
689;2021-09-08 11:47:00+01:00;46174.74609375;46112.92622316145;46017.72898873307;45971.80071613384;2;46174.74609375;
690;2021-09-08 11:48:00+01:00;46133.30078125;46182.98096313244;46069.157437499096;45994.03164161458;0;;
691;2021-09-08 11:49:00+01:00;46227.1953125;46143.428280350185;46112.64833711285;46009.46073069938;0;;
692;2021-09-08 11:50:00+01:00;46242.2421875;46240.94840440869;46170.0709677632;46037.72096331236;0;;
693;2021-09-08 11:51:00+01:00;46321.375;46256.50066897314;46205.96457921612;46068.94247231881;0;;
694;2021-09-08 11:52:00+01:00;46466.65625;46337.69454869968;46244.64297560792;46115.38273689881;0;;
695;2021-09-08 11:53:00+01:00;46517.7734375;46486.98418096157;46330.531950760764;46171.945300145795;0;;
696;2021-09-08 11:54:00+01:00;46498.3125;46538.485436851304;46404.91620887142;46228.0671270241;0;;
697;2021-09-08 11:55:00+01:00;46532.19921875;46515.59526099651;46469.68985687726;46282.68018493423;0;;
698;2021-09-08 11:56:00+01:00;46514.03125;46546.14620140976;46521.80277005479;46336.16901689447;0;;
699;2021-09-08 11:57:00+01:00;46485.265625;46522.06727854016;46530.573544449435;46377.08312243234;0;;
700;2021-09-08 11:58:00+01:00;46470.58984375;46486.26480081272;46517.51838543979;46407.41150620037;0;;
701;2021-09-08 11:59:00+01:00;46486.85546875;46465.07899595697;46504.88931917991;46439.57657776105;0;;
702;2021-09-08 12:00:00+01:00;46487.0;46476.93600993669;46487.58677131163;46463.17533831385;0;;
703;2021-09-08 12:01:00+01:00;46476.78125;46473.64224579432;46475.48051312517;46484.889495995965;-1;0.0;0.0
704;2021-09-08 12:02:00+01:00;46432.015625;46461.35276581488;46469.25250437572;46497.25531770749;-2;;46432.015625
705;2021-09-08 12:03:00+01:00;46421.1875;46414.764475184595;46456.67387418262;46490.03334712979;0;;
706;2021-09-08 12:04:00+01:00;46386.86328125;46404.53768882292;46438.57429390418;46476.638572326956;0;;
707;2021-09-08 12:05:00+01:00;46436.68359375;46371.44256662441;46413.0243741117;46462.223302889746;0;;
708;2021-09-08 12:06:00+01:00;46414.17578125;46426.43724402497;46404.29549366423;46450.25240715127;0;;
709;2021-09-08 12:07:00+01:00;46389.58984375;46407.97499483497;46402.59812357682;46438.84317878075;0;;
710;2021-09-08 12:08:00+01:00;46445.63671875;46387.366932724115;46398.305434552116;46428.95339197188;0;;
711;2021-09-08 12:09:00+01:00;46443.0234375;46449.89910905621;46417.91957016007;46427.43540328181;0;;
712;2021-09-08 12:10:00+01:00;46569.67578125;46451.4119360707;46424.1632431715;46424.88299589521;0;;
713;2021-09-08 12:11:00+01:00;46592.48828125;46585.944439034334;46468.65560422134;46436.113215219215;1;0.0;0.0
714;2021-09-08 12:12:00+01:00;46735.48046875;46612.60099717259;46524.96412033346;46451.23803835498;2;46735.48046875;
715;2021-09-08 12:13:00+01:00;46705.07421875;46762.29975989864;46603.06428304406;46485.991566826386;0;;
716;2021-09-08 12:14:00+01:00;46681.98046875;46730.80935537792;46672.913637870864;46518.61873348189;0;;
717;2021-09-08 12:15:00+01:00;46635.08984375;46703.8125779635;46702.38067260316;46551.8557346158;0;;
718;2021-09-08 12:16:00+01:00;46596.88671875;46649.61949997316;46711.6352983033;46574.17396021061;0;;
719;2021-09-08 12:17:00+01:00;46534.02734375;46602.588157403836;46671.70739767961;46593.6352764675;0;;
720;2021-09-08 12:18:00+01:00;46518.52734375;46528.98359048123;46621.250956455435;46607.796942243214;0;;
721;2021-09-08 12:19:00+01:00;46510.578125;46505.45106118525;46571.66057726087;46613.35213745611;-1;0.0;0.0
722;2021-09-08 12:20:00+01:00;46563.60546875;46491.60544468919;46532.157063439874;46617.371488317964;-2;;46563.60546875
723;2021-09-08 12:21:00+01:00;46577.859375;46543.75280676799;46517.448225780914;46613.15232509133;0;;
724;2021-09-08 12:22:00+01:00;46559.3125;46558.46024275699;46524.81738884986;46607.738249649774;0;;
725;2021-09-08 12:23:00+01:00;46515.73046875;46541.418979049435;46533.8093683159;46585.65017156485;0;;
726;2021-09-08 12:24:00+01:00;46629.7421875;46499.371469755184;46535.7508745824;46562.506383002576;0;;
727;2021-09-08 12:25:00+01:00;46651.69921875;46623.41941451882;46555.667526520105;46554.46706665811;1;0.0;0.0
728;2021-09-08 12:26:00+01:00;46605.84375;46651.572085743726;46578.945487266785;46554.662325235164;2;46605.84375;
729;2021-09-08 12:27:00+01:00;46595.0078125;46609.00034857132;46595.84082964726;46555.30354435191;0;;
730;2021-09-08 12:28:00+01:00;46598.51171875;46601.47501717494;46621.3667165022;46562.552687021285;0;;
731;2021-09-08 12:29:00+01:00;46655.7265625;46607.7874171199;46617.45871715247;46572.78632261475;0;;
732;2021-09-08 12:30:00+01:00;46639.41015625;46669.67302224013;46621.98395127657;46590.59308036984;0;;
733;2021-09-08 12:31:00+01:00;46660.8125;46653.13479844061;46633.017563743895;46601.53127953711;0;;
734;2021-09-08 12:32:00+01:00;46606.421875;46674.63966635265;46651.30872603832;46613.149221896674;0;;
735;2021-09-08 12:33:00+01:00;46559.6875;46615.6910738494;46653.2846402207;46620.57643137667;0;;
736;2021-09-08 12:34:00+01:00;46549.58203125;46562.94746524391;46626.60325097164;46626.93403092554;-1;0.0;0.0
737;2021-09-08 12:35:00+01:00;46571.7578125;46549.23448680473;46600.628173062665;46619.515538154126;-2;;46571.7578125
738;2021-09-08 12:36:00+01:00;46549.31640625;46569.39427535636;46574.316825313595;46611.2977571154;0;;
739;2021-09-08 12:37:00+01:00;46522.8671875;46543.3924291791;46556.242164146024;46604.73696517617;0;;
740;2021-09-08 12:38:00+01:00;46503.66796875;46513.843174194655;46543.966091383714;46595.973780878136;0;;
741;2021-09-08 12:39:00+01:00;46519.88671875;46492.879536700515;46529.87735385765;46584.4829928362;0;;
742;2021-09-08 12:40:00+01:00;46526.97265625;46510.69209240142;46515.20180811892;46568.58489985233;0;;
743;2021-09-08 12:41:00+01:00;46509.796875;46519.12095846661;46509.1339404408;46555.18351585493;0;;
744;2021-09-08 12:42:00+01:00;46495.390625;46502.91015914154;46506.400686677516;46538.01056513382;0;;
745;2021-09-08 12:43:00+01:00;46496.41015625;46489.9901092372;46505.67832981169;46525.440468672605;0;;
746;2021-09-08 12:44:00+01:00;46471.61328125;46493.203717214754;46501.30623601502;46518.46609386969;0;;
747;2021-09-08 12:45:00+01:00;46497.6875;46469.74817084651;46488.96303911;46510.51746227387;0;;
748;2021-09-08 12:46:00+01:00;46495.0390625;46499.38253180817;46488.08113227666;46503.51628791905;0;;
749;2021-09-08 12:47:00+01:00;46558.07421875;46498.31873875159;46490.16328965526;46499.008918876294;0;;
750;2021-09-08 12:48:00+01:00;46531.890625;46566.134697594905;46508.3960347503;46504.23807121632;1;0.0;0.0
