;Datetime;sma_4;sma_10;Close;Predict;P_sma_4;P_sma_10;Signal;Buy_price;Sell_price;Signal_SMA;Buy_price_SMA;Sell_price_SMA
566;2021-09-09 10:00:00+01:00;;;2.611336708068848;2.6041360902284287;;;0;0.0;0.0;0;;
567;2021-09-09 10:01:00+01:00;;;2.6087563037872314;2.6092173202512408;;;0;0.0;0.0;0;;
568;2021-09-09 10:02:00+01:00;;;2.6115427017211914;2.6101126610634378;;;0;0.0;0.0;0;;
569;2021-09-09 10:03:00+01:00;2.610787272453308;;2.611513376235962;2.6102163151177047;2.608420596665203;;0;0.0;0.0;0;;
570;2021-09-09 10:04:00+01:00;2.6132165789604187;;2.62105393409729;2.611721922515641;2.6103170547370063;;0;0.0;0.0;0;;
571;2021-09-09 10:05:00+01:00;2.615784466266632;;2.619027853012085;2.6171702199736844;2.612305279667617;;0;0.0;0.0;0;;
572;2021-09-09 10:06:00+01:00;2.6155804991722107;;2.610726833343506;2.620422006905179;2.6148826161280523;;0;0.0;0.0;0;;
573;2021-09-09 10:07:00+01:00;2.6155447959899902;;2.61137056350708;2.61387229589622;2.615796611322681;;0;0.0;0.0;0;;
574;2021-09-09 10:08:00+01:00;2.6127198934555054;;2.6097543239593506;2.6106441297416465;2.6155271631291823;;0;0.0;0.0;0;;
575;2021-09-09 10:09:00+01:00;2.61223304271698;2.6132163047790526;2.6170804500579834;2.610514743496185;2.613863294009808;2.611802770518937;1;0.0;0.0;-1;0.0;0.0
576;2021-09-09 10:10:00+01:00;2.613417863845825;2.6136292457580566;2.6154661178588867;2.614009158253056;2.612260081846777;2.6127900773213995;2;500.0;;0;;
577;2021-09-09 10:11:00+01:00;2.613482415676117;2.6139164924621583;2.611628770828247;2.616573512470818;2.6129353859904265;2.6135256965433573;-1;0.0;0.0;0;;
578;2021-09-09 10:12:00+01:00;2.615898549556732;2.6147041082382203;2.6194188594818115;2.613014183533896;2.6135278994384885;2.613815848790403;-2;;500.7556476528966;1;500.0;
579;2021-09-09 10:13:00+01:00;2.6166741847991943;2.615571069717407;2.620182991027832;2.6160675211973823;2.614916093863788;2.6144009693983707;1;0.0;0.0;0;;
580;2021-09-09 10:14:00+01:00;2.617017686367035;2.6151496887207033;2.616840124130249;2.62037154442915;2.6165066904078116;2.6152659315897218;2;500.0;;0;;
581;2021-09-09 10:15:00+01:00;2.617754817008972;2.614704632759094;2.614577293395996;2.618161932961188;2.616903795530404;2.615365102888472;0;;;0;;
582;2021-09-09 10:16:00+01:00;2.6153851747512817;2.6146259784698485;2.60994029045105;2.6152946197156233;2.617473904575836;2.6148523641695167;0;;;0;;
583;2021-09-09 10:17:00+01:00;2.612042248249054;2.614170050621033;2.606811285018921;2.611705684197131;2.616383445325773;2.6146357029996077;0;;;-1;;497.5934405471103
